country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,1.1,,,1.87,,2,,1.82,,1.84,,1.81
Albania,2.33,,,2.14,,2.43,,,,1.98,,2.29
Algeria,1.83,,,2.06,,2.02,,2.54,,2.58,,2.42
Angola,2.25,,,1.69,,2.48,,2.11,,2.13,,1.86
Argentina,2.81,,,2.75,,2.94,,2.83,,2.86,,2.77
Armenia,1.78,,,2.32,,2.38,,2.38,,2.22,,2.48
Australia,3.65,,,3.78,,3.83,,4,,3.82,,3.97
Austria,4.06,,,3.68,,4.05,,3.64,,4.08,,4.18
Azerbaijan,2,,,2.23,,2.42,,2.71,,,,
Bahamas,,,,2.4,,2.77,,2.74,,2.72,,2.41
Bahrain,3.4,,,3.36,,3.08,,3.04,,3.1,,2.72
Bangladesh,2.29,,,2.49,,,,2.11,,2.48,,2.39
Belarus,2.63,,,,,2.78,,2.55,,2.1,,2.44
Belgium,4,,,4.01,,4.12,,4.1,,4.05,,3.98
Benin,1.89,,,2.48,,2.57,,2.35,,2.39,,2.5
Bhutan,1.95,,,1.83,,2.29,,2.18,,1.96,,1.91
Bolivia,2.08,,,2.24,,2.39,,2.17,,2.11,,2.15
Bosnia and Herzegovina,2.26,,,2.22,,2.86,,2.55,,2.61,,2.42
Botswana,,,,2.09,,2.82,,2.23,,2.96,,
Brazil,2.75,,,3.1,,3.07,,2.93,,3.11,,2.93
Brunei,,,,,,,,,,2.75,,2.46
Bulgaria,2.47,,,2.3,,3.2,,2.94,,2.35,,2.76
Burkina Faso,1.89,,,1.89,,2.4,,2.35,,2.67,,2.43
Burundi,2.5,,,,,1.68,,2.4,,1.98,,1.95
Cambodia,2.3,,,2.12,,2.2,,2.58,,2.36,,2.14
Cameroon,2,,,2.1,,2.24,,1.85,,2.21,,2.57
Canada,3.95,,,4.03,,3.99,,4.05,,4.14,,3.75
Central African Republic,,,,,,,,2.5,,,,1.93
Chad,1.8,,,2,,2,,2.33,,2.07,,2.37
Chile,3.06,,,2.86,,3.18,,3.17,,2.77,,3.21
China,3.2,,,3.54,,3.61,,3.67,,3.75,,3.75
Colombia,2.28,,,2.59,,2.72,,2.44,,2.43,,2.67
Comoros,2.46,,,1.76,,1.94,,2.3,,2.36,,2.25
"Congo, Dem. Rep.",,,,2.27,,1.96,,1.83,,2.01,,2.12
"Congo, Rep.",,,,1.62,,1.27,,1.83,,2.6,,2.07
Costa Rica,2.43,,,2.56,,2.6,,2.43,,2.32,,2.49
Cote d'Ivoire,2.22,,,2.37,,2.31,,2.41,,2.46,,2.89
Croatia,2.5,,,2.36,,3.35,,2.92,,2.99,,3.01
Cuba,,,,1.9,,2.08,,1.84,,2.31,,2.04
Cyprus,2.91,,,2.94,,3.17,,2.87,,3,,2.89
Czech Republic,3,,,3.25,,2.96,,3.29,,3.36,,3.46
Denmark,3.82,,,3.99,,4.07,,3.82,,3.75,,3.96
Djibouti,1.92,,,2.33,,1.51,,2,,2.3,,2.79
Dominican Republic,2.18,,,2.34,,2.61,,2.61,,2.29,,2.36
Ecuador,2.36,,,2.38,,2.62,,2.5,,2.47,,2.72
Egypt,2,,,2.22,,3.07,,2.86,,3.07,,2.82
El Salvador,2.42,,,2.44,,2.46,,2.63,,2.25,,2.25
Equatorial Guinea,,,,,,,,2.11,,1.5,,1.88
Eritrea,2,,,1.35,,1.83,,1.68,,2.06,,1.86
Estonia,2.91,,,2.75,,2.79,,3.34,,3.18,,3.1
Ethiopia,1.88,,,1.77,,2.22,,2.17,,2.12,,
Fiji,,,,1.98,,2.22,,2.47,,2.25,,2.4
Finland,3.81,,,4.08,,4.12,,3.52,,4.01,,4
France,3.82,,,4,,3.96,,3.98,,4.01,,4
Gabon,2.4,,,2.09,,2,,2.08,,2.05,,2.09
Gambia,2.33,,,2.17,,1.9,,2,,,,1.82
Georgia,,,,2.17,,2.85,,2.42,,2.17,,2.38
Germany,4.19,,,4.34,,4.26,,4.32,,4.44,,4.37
Ghana,2.25,,,2.52,,2.05,,2.67,,2.48,,2.44
Greece,3.05,,,2.94,,2.88,,3.17,,3.32,,3.17
Guatemala,2.13,,,2.37,,2.59,,2.54,,2.2,,2.2
Guinea,2.33,,,2.1,,2.34,,2.1,,2.01,,1.56
Guinea-Bissau,2.25,,,1.56,,2.68,,2.29,,1.91,,1.78
Guyana,1.78,,,1.99,,2.15,,2.4,,2.24,,2.09
Haiti,2.14,,,2.17,,1.78,,2,,1.47,,1.94
Honduras,2.32,,,2.31,,2.35,,2.24,,2.04,,2.47
Hungary,3.12,,,3.08,,3.14,,3.18,,3.48,,3.27
Iceland,,,,3.33,,3.39,,3.34,,3.02,,3.19
India,2.9,,,2.91,,2.87,,2.88,,3.34,,2.91
Indonesia,2.83,,,2.54,,2.54,,2.92,,2.65,,2.89
Iran,2.44,,,2.36,,2.42,,,,2.67,,2.77
Iraq,,,,1.73,,1.92,,2.18,,1.87,,2.03
Ireland,3.72,,,3.76,,3.35,,3.84,,3.77,,3.29
Israel,3,,,3.6,,,,3.11,,3.49,,3.33
Italy,3.52,,,3.72,,3.74,,3.78,,3.79,,3.85
Jamaica,2.03,,,2.07,,2.27,,2.84,,2.23,,2.32
Japan,4.11,,,4.19,,4.11,,4.16,,4.1,,4.25
Jordan,2.62,,,2.69,,2.48,,2.59,,2.77,,2.72
Kazakhstan,1.86,,,2.66,,2.6,,2.38,,2.76,,2.55
Kenya,2.15,,,2.14,,2.16,,2.4,,3.21,,2.55
Kuwait,2.83,,,3.33,,2.82,,3.16,,2.92,,3.02
Kyrgyz Republic,2.06,,,2.09,,2.49,,2.05,,1.96,,2.38
Lao,2,,,1.95,,2.4,,2.21,,1.76,,2.44
Latvia,2.56,,,2.88,,2.52,,3.03,,3.24,,2.98
Lebanon,2.14,,,3.05,,2.41,,2.53,,2.64,,2.64
Lesotho,2,,,,,2.12,,2.35,,1.96,,1.96
Liberia,2.14,,,2,,2.41,,2.57,,2.01,,1.91
Libya,,,,2.18,,1.75,,2.29,,2.04,,2.25
Lithuania,2.3,,,2.72,,2.58,,3.18,,3.57,,2.73
Luxembourg,3.86,,,4.06,,3.79,,3.91,,4.24,,3.63
Madagascar,2.13,,,2.63,,2.4,,2.15,,2.12,,2.16
Malawi,2.13,,,,,2.78,,3.04,,,,2.18
Malaysia,3.33,,,3.5,,3.43,,3.56,,3.45,,3.15
Maldives,,,,2.16,,2.47,,2.56,,2.57,,2.72
Mali,1.9,,,2,,,,2.2,,2.3,,2.3
Malta,,,,2.89,,3.1,,3.08,,2.94,,2.9
Mauritania,2.2,,,,,2.34,,2.4,,1.54,,2.26
Mauritius,2.29,,,2.29,,2.83,,2.5,,,,2.8
Mexico,2.68,,,2.95,,3.03,,3.04,,2.89,,2.85
Moldova,1.94,,,2.05,,2.44,,2.55,,2.35,,2.02
Mongolia,1.92,,,1.94,,2.22,,2.29,,2.05,,2.1
Montenegro,,,,2.45,,2.3,,2.84,,2.07,,2.57
Morocco,2.33,,,,,3.14,,,,2.46,,2.43
Mozambique,2.08,,,2.04,,,,2.15,,2.24,,
Myanmar,1.69,,,1.92,,2.1,,2.14,,2.33,,1.99
Namibia,2,,,1.71,,2.72,,2.57,,2.76,,
Nepal,1.77,,,1.8,,1.87,,2.26,,2.27,,2.19
Netherlands,4.29,,,4.25,,4.15,,4.23,,4.29,,4.21
New Zealand,3.61,,,3.54,,3.42,,3.67,,3.55,,3.99
Nicaragua,1.86,,,2.23,,,,2.2,,2.5,,
Niger,1.4,,,2.28,,2.45,,2.08,,2.22,,2
Nigeria,2.23,,,2.43,,2.27,,2.56,,2.4,,2.56
North Macedonia,2.29,,,2.55,,2.6,,2.5,,2.58,,2.47
Norway,3.82,,,4.22,,3.86,,4.19,,3.95,,3.69
Oman,2.86,,,3.06,,2.96,,2.88,,3.44,,3.16
Pakistan,2.37,,,2.08,,2.69,,2.67,,2.7,,2.2
Panama,2.79,,,2.63,,2.94,,3,,3.28,,3.13
Papua New Guinea,2,,,1.91,,2.2,,2.23,,2.32,,1.97
Paraguay,2.47,,,2.44,,2.41,,2.46,,2.45,,2.55
Peru,2.57,,,2.66,,2.73,,2.72,,2.62,,2.28
Philippines,2.26,,,2.57,,2.8,,2.6,,2.55,,2.73
Poland,2.69,,,2.98,,3.1,,3.08,,3.17,,3.21
Portugal,3.16,,,3.17,,3.42,,3.37,,3.09,,3.25
Qatar,2.63,,,2.75,,3.23,,3.44,,3.57,,3.38
Romania,2.73,,,2.25,,2.51,,2.77,,2.88,,2.91
Russia,2.23,,,2.38,,2.45,,2.59,,2.43,,2.78
Rwanda,1.53,,,1.63,,1.88,,2.32,,2.62,,2.76
Sao Tome and Principe,2.2,,,,,2.24,,2.59,,2.12,,2.33
Saudi Arabia,2.95,,,3.27,,3.22,,3.34,,3.24,,3.11
Senegal,2.09,,,2.64,,2.31,,2.3,,2.23,,2.22
Serbia,2.18,,,2.3,,2.62,,2.73,,2.49,,2.6
Sierra Leone,1.83,,,1.61,,2.5,,,,2.07,,1.82
Singapore,4.27,,,4.22,,4.15,,4.28,,4.2,,4.06
Slovak Republic,2.68,,,3,,2.99,,3.22,,3.24,,3
Slovenia,3.22,,,2.65,,3.24,,3.35,,3.19,,3.26
Solomon Islands,2,,,2.23,,2.03,,2.46,,2.21,,2.21
Somalia,1.63,,,1.5,,,,1.5,,1.57,,1.81
South Africa,3.42,,,3.42,,3.79,,3.2,,3.78,,3.19
South Korea,3.44,,,3.62,,3.74,,3.79,,3.79,,3.73
Spain,3.51,,,3.58,,3.74,,3.77,,3.72,,3.84
Sri Lanka,2.13,,,1.88,,2.5,,2.23,,,,2.49
Sudan,2.36,,,1.78,,2.01,,1.9,,2.2,,2.18
Sweden,4.11,,,4.03,,4.13,,4.09,,4.27,,4.24
Switzerland,4.13,,,4.17,,3.98,,4.04,,4.19,,4.02
Syria,1.91,,,2.45,,2.54,,2.08,,1.24,,2.51
Tajikistan,2,,,2,,2.03,,2.36,,2.13,,2.17
Tanzania,2,,,2,,2.41,,2.32,,2.81,,
Thailand,3.16,,,3.16,,3.08,,3.4,,3.12,,3.14
Timor-Leste,1.67,,,,,,,,,,,
Togo,2.25,,,1.82,,2.46,,2.07,,2.24,,2.23
Trinidad and Tobago,,,,,,,,,,2.34,,2.38
Tunisia,2.83,,,2.56,,2.88,,2.3,,2.44,,2.1
Turkey,2.94,,,3.08,,3.62,,3.53,,3.49,,3.21
Turkmenistan,,,,2.24,,,,2.06,,2.34,,2.23
Uganda,2.17,,,2.35,,,,,,2.74,,2.19
Ukraine,2.35,,,2.44,,2.69,,2.65,,2.49,,2.22
United Arab Emirates,3.8,,,3.81,,3.84,,3.7,,4.07,,4.02
United Kingdom,4.05,,,3.95,,3.95,,4.16,,4.21,,4.03
United States,4.07,,,4.15,,4.14,,4.18,,4.15,,4.05
Uruguay,2.38,,,2.58,,2.87,,2.51,,2.79,,2.43
Uzbekistan,2,,,2.54,,2.25,,2.01,,2.45,,2.57
Venezuela,2.51,,,2.44,,2.17,,2.61,,2.35,,2.1
Vietnam,2.5,,,2.56,,2.68,,3.11,,2.7,,3.01
Yemen,2.08,,,2.35,,2.62,,1.87,,,,2.12
Zambia,2,,,1.83,,,,2.31,,2.26,,2.3
Zimbabwe,1.87,,,,,2.2,,2.25,,2.21,,1.83
